AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|4.9|7.5|6.1|92|III(d) Other gliomas|14991152|1999
10-14|2.6|4.3|3.4|67|III(d) Other gliomas|19742631|1999
15-19|2.5|4.1|3.2|63|III(d) Other gliomas|19585857|1999
5-9|5.5|7.8|6.6|133|III(d) Other gliomas|20146188|1999
<1|~|~|~|~|III(d) Other gliomas|3708753|1999
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14991152|1999
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19742631|1999
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19585857|1999
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20146188|1999
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3708753|1999
1-4|0.7|1.9|1.2|18|III(f) Unspecified intracranial and intraspinal neoplasms|14991152|1999
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19742631|1999
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19585857|1999
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20146188|1999
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3708753|1999
1-4|19.4|24.2|21.7|325|IV Neuroblastoma and other peripheral nervous cell tumors|14991152|1999
10-14|0.7|1.7|1.2|23|IV Neuroblastoma and other peripheral nervous cell tumors|19742631|1999
15-19|0.7|1.6|1.1|21|IV Neuroblastoma and other peripheral nervous cell tumors|19585857|1999
5-9|2.1|3.6|2.8|56|IV Neuroblastoma and other peripheral nervous cell tumors|20146188|1999
<1|50.0|65.7|57.4|213|IV Neuroblastoma and other peripheral nervous cell tumors|3708753|1999
1-4|19.4|24.2|21.7|325|IV(a) Neuroblastoma and ganglioneuroblastoma|14991152|1999
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19742631|1999
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|19585857|1999
5-9|2.0|3.5|2.7|54|IV(a) Neuroblastoma and ganglioneuroblastoma|20146188|1999
<1|50.0|65.7|57.4|213|IV(a) Neuroblastoma and ganglioneuroblastoma|3708753|1999
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14991152|1999
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19742631|1999
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19585857|1999
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20146188|1999
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3708753|1999
1-4|8.3|11.5|9.8|147|IX Soft tissue and other extraosseous sarcomas|14991152|1999
10-14|8.0|10.7|9.3|183|IX Soft tissue and other extraosseous sarcomas|19742631|1999
15-19|13.6|17.2|15.3|300|IX Soft tissue and other extraosseous sarcomas|19585857|1999
5-9|7.2|9.8|8.4|169|IX Soft tissue and other extraosseous sarcomas|20146188|1999
<1|11.2|19.3|14.8|55|IX Soft tissue and other extraosseous sarcomas|3708753|1999
1-4|5.4|8.1|6.7|100|IX(a) Rhabdomyosarcomas|14991152|1999
10-14|2.5|4.2|3.3|65|IX(a) Rhabdomyosarcomas|19742631|1999
15-19|2.7|4.3|3.4|67|IX(a) Rhabdomyosarcomas|19585857|1999
5-9|3.9|5.8|4.8|96|IX(a) Rhabdomyosarcomas|20146188|1999
<1|5.0|10.9|7.5|28|IX(a) Rhabdomyosarcomas|3708753|1999
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14991152|1999
10-14|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19742631|1999
15-19|1.2|2.4|1.7|33|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19585857|1999
5-9|0.6|1.5|0.9|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20146188|1999
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3708753|1999
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14991152|1999
10-14|~|~|~|~|IX(c) Kaposi sarcoma|19742631|1999
15-19|~|~|~|~|IX(c) Kaposi sarcoma|19585857|1999
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20146188|1999
<1|~|~|~|~|IX(c) Kaposi sarcoma|3708753|1999
1-4|1.4|2.9|2.0|30|IX(d) Other specified soft tissue sarcomas|14991152|1999
10-14|3.2|5.0|4.1|80|IX(d) Other specified soft tissue sarcomas|19742631|1999
15-19|6.7|9.2|7.9|154|IX(d) Other specified soft tissue sarcomas|19585857|1999
5-9|1.4|2.7|2.0|40|IX(d) Other specified soft tissue sarcomas|20146188|1999
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3708753|1999
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14991152|1999
10-14|0.7|1.7|1.2|23|IX(e) Unspecified soft tissue sarcomas|19742631|1999
15-19|1.6|3.0|2.2|44|IX(e) Unspecified soft tissue sarcomas|19585857|1999
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|20146188|1999
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3708753|1999
1-4|~|~|~|~|Not classified by ICCC|14991152|1999
10-14|~|~|~|~|Not classified by ICCC|19742631|1999
15-19|~|~|~|~|Not classified by ICCC|19585857|1999
5-9|~|~|~|~|Not classified by ICCC|20146188|1999
<1|~|~|~|~|Not classified by ICCC|3708753|1999
1-4|7.5|10.6|8.9|134|V Retinoblastoma|14991152|1999
10-14|~|~|~|~|V Retinoblastoma|19742631|1999
15-19|~|~|~|~|V Retinoblastoma|19585857|1999
5-9|~|~|~|~|V Retinoblastoma|20146188|1999
<1|22.2|33.1|27.2|101|V Retinoblastoma|3708753|1999
1-4|16.2|20.6|18.3|275|VI Renal tumors|14991152|1999
10-14|0.8|1.8|1.2|24|VI Renal tumors|19742631|1999
15-19|0.9|2.0|1.4|27|VI Renal tumors|19585857|1999
5-9|4.2|6.2|5.1|103|VI Renal tumors|20146188|1999
<1|13.5|22.3|17.5|65|VI Renal tumors|3708753|1999
1-4|16.1|20.5|18.2|273|VI(a) Nephroblastoma and other nonepithelial renal tumors|14991152|1999
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19742631|1999
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|19585857|1999
5-9|3.9|5.9|4.8|97|VI(a) Nephroblastoma and other nonepithelial renal tumors|20146188|1999
<1|12.3|20.8|16.2|60|VI(a) Nephroblastoma and other nonepithelial renal tumors|3708753|1999
1-4|~|~|~|~|VI(b) Renal carcinomas|14991152|1999
10-14|~|~|~|~|VI(b) Renal carcinomas|19742631|1999
15-19|0.5|1.4|0.9|17|VI(b) Renal carcinomas|19585857|1999
5-9|~|~|~|~|VI(b) Renal carcinomas|20146188|1999
<1|~|~|~|~|VI(b) Renal carcinomas|3708753|1999
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14991152|1999
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|19742631|1999
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|19585857|1999
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20146188|1999
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3708753|1999
1-4|3.3|5.5|4.3|64|VII Hepatic tumors|14991152|1999
10-14|~|~|~|~|VII Hepatic tumors|19742631|1999
15-19|1.1|2.3|1.6|32|VII Hepatic tumors|19585857|1999
5-9|~|~|~|~|VII Hepatic tumors|20146188|1999
<1|6.3|12.8|9.2|34|VII Hepatic tumors|3708753|1999
1-4|3.0|5.1|3.9|59|VII(a) Hepatoblastoma|14991152|1999
10-14|~|~|~|~|VII(a) Hepatoblastoma|19742631|1999
15-19|~|~|~|~|VII(a) Hepatoblastoma|19585857|1999
5-9|~|~|~|~|VII(a) Hepatoblastoma|20146188|1999
<1|6.3|12.8|9.2|34|VII(a) Hepatoblastoma|3708753|1999
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14991152|1999
10-14|~|~|~|~|VII(b) Hepatic carcinomas|19742631|1999
15-19|1.0|2.2|1.5|30|VII(b) Hepatic carcinomas|19585857|1999
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20146188|1999
<1|~|~|~|~|VII(b) Hepatic carcinomas|3708753|1999
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14991152|1999
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19742631|1999
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19585857|1999
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20146188|1999
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3708753|1999
1-4|1.0|2.3|1.5|23|VIII Malignant bone tumors|14991152|1999
10-14|12.6|15.9|14.2|280|VIII Malignant bone tumors|19742631|1999
15-19|12.3|15.7|13.9|273|VIII Malignant bone tumors|19585857|1999
5-9|4.7|6.9|5.7|115|VIII Malignant bone tumors|20146188|1999
<1|~|~|~|~|VIII Malignant bone tumors|3708753|1999
1-4|~|~|~|~|VIII(a) Osteosarcomas|14991152|1999
10-14|7.7|10.4|9.0|177|VIII(a) Osteosarcomas|19742631|1999
15-19|6.7|9.2|7.9|154|VIII(a) Osteosarcomas|19585857|1999
5-9|2.4|4.0|3.1|63|VIII(a) Osteosarcomas|20146188|1999
<1|~|~|~|~|VIII(a) Osteosarcomas|3708753|1999
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14991152|1999
10-14|~|~|~|~|VIII(b) Chondrosarcomas|19742631|1999
15-19|0.5|1.5|0.9|18|VIII(b) Chondrosarcomas|19585857|1999
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20146188|1999
<1|~|~|~|~|VIII(b) Chondrosarcomas|3708753|1999
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14991152|1999
10-14|3.5|5.4|4.4|86|VIII(c) Ewing tumor and related sarcomas of bone|19742631|1999
15-19|3.1|4.9|3.9|76|VIII(c) Ewing tumor and related sarcomas of bone|19585857|1999
5-9|1.4|2.6|1.9|39|VIII(c) Ewing tumor and related sarcomas of bone|20146188|1999
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3708753|1999
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14991152|1999
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|19742631|1999
15-19|0.7|1.6|1.1|21|VIII(d) Other specified malignant bone tumors|19585857|1999
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20146188|1999
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3708753|1999
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14991152|1999
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19742631|1999
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19585857|1999
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20146188|1999
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3708753|1999
1-4|2.6|4.6|3.5|53|X Germ cell, trophoblastic tumors & neoplasms of gonads|14991152|1999
10-14|5.6|7.9|6.7|132|X Germ cell, trophoblastic tumors & neoplasms of gonads|19742631|1999
15-19|23.3|27.8|25.5|499|X Germ cell, trophoblastic tumors & neoplasms of gonads|19585857|1999
5-9|1.3|2.5|1.8|36|X Germ cell, trophoblastic tumors & neoplasms of gonads|20146188|1999
<1|14.2|23.2|18.3|68|X Germ cell, trophoblastic tumors & neoplasms of gonads|3708753|1999
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14991152|1999
10-14|1.8|3.3|2.5|49|X(a) Intracranial & intraspinal germ cell tumors|19742631|1999
15-19|1.2|2.4|1.7|34|X(a) Intracranial & intraspinal germ cell tumors|19585857|1999
5-9|0.5|1.4|0.8|17|X(a) Intracranial & intraspinal germ cell tumors|20146188|1999
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3708753|1999
1-4|1.0|2.3|1.5|23|X(b) Malignant extracranial & extragonadal germ cell tumors|14991152|1999
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19742631|1999
15-19|0.9|2.1|1.4|28|X(b) Malignant extracranial & extragonadal germ cell tumors|19585857|1999
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20146188|1999
<1|8.6|15.9|11.9|44|X(b) Malignant extracranial & extragonadal germ cell tumors|3708753|1999
1-4|1.0|2.3|1.5|23|X(c) Malignant gonadal germ cell tumors|14991152|1999
10-14|2.5|4.1|3.2|64|X(c) Malignant gonadal germ cell tumors|19742631|1999
15-19|18.4|22.4|20.3|398|X(c) Malignant gonadal germ cell tumors|19585857|1999
5-9|0.5|1.4|0.9|18|X(c) Malignant gonadal germ cell tumors|20146188|1999
<1|3.1|8.0|5.1|19|X(c) Malignant gonadal germ cell tumors|3708753|1999
1-4|~|~|~|~|X(d) Gonadal carcinomas|14991152|1999
10-14|~|~|~|~|X(d) Gonadal carcinomas|19742631|1999
15-19|0.9|2.0|1.4|27|X(d) Gonadal carcinomas|19585857|1999
5-9|~|~|~|~|X(d) Gonadal carcinomas|20146188|1999
<1|~|~|~|~|X(d) Gonadal carcinomas|3708753|1999
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14991152|1999
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19742631|1999
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19585857|1999
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20146188|1999
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3708753|1999
1-4|0.7|1.8|1.1|17|XI Other malignant epithelial neoplasms and malignant melanomas|14991152|1999
10-14|10.8|14.0|12.3|243|XI Other malignant epithelial neoplasms and malignant melanomas|19742631|1999
15-19|40.7|46.6|43.6|854|XI Other malignant epithelial neoplasms and malignant melanomas|19585857|1999
5-9|2.4|4.1|3.2|64|XI Other malignant epithelial neoplasms and malignant melanomas|20146188|1999
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|3708753|1999
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14991152|1999
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|19742631|1999
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|19585857|1999
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20146188|1999
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3708753|1999
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14991152|1999
10-14|2.9|4.6|3.7|73|XI(b) Thyroid carcinomas|19742631|1999
15-19|15.9|19.7|17.8|348|XI(b) Thyroid carcinomas|19585857|1999
5-9|1.1|2.2|1.6|32|XI(b) Thyroid carcinomas|20146188|1999
<1|~|~|~|~|XI(b) Thyroid carcinomas|3708753|1999
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14991152|1999
10-14|0.6|1.6|1.0|20|XI(c) Nasopharyngeal carcinomas|19742631|1999
15-19|0.6|1.5|1.0|19|XI(c) Nasopharyngeal carcinomas|19585857|1999
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20146188|1999
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3708753|1999
1-4|~|~|~|~|XI(d) Malignant melanomas|14991152|1999
10-14|2.9|4.6|3.6|72|XI(d) Malignant melanomas|19742631|1999
15-19|12.1|15.4|13.7|268|XI(d) Malignant melanomas|19585857|1999
5-9|~|~|~|~|XI(d) Malignant melanomas|20146188|1999
<1|~|~|~|~|XI(d) Malignant melanomas|3708753|1999
1-4|~|~|~|~|XI(e) Skin carcinomas|14991152|1999
10-14|~|~|~|~|XI(e) Skin carcinomas|19742631|1999
15-19|~|~|~|~|XI(e) Skin carcinomas|19585857|1999
5-9|~|~|~|~|XI(e) Skin carcinomas|20146188|1999
<1|~|~|~|~|XI(e) Skin carcinomas|3708753|1999
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14991152|1999
10-14|2.6|4.3|3.4|67|XI(f) Other and unspecified carcinomas|19742631|1999
15-19|9.4|12.3|10.8|211|XI(f) Other and unspecified carcinomas|19585857|1999
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|20146188|1999
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3708753|1999
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14991152|1999
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|19742631|1999
15-19|1.2|2.4|1.7|34|XII Other and unspecified malignant neoplasms|19585857|1999
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20146188|1999
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3708753|1999
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14991152|1999
10-14|~|~|~|~|XII(a) Other specified malignant tumors|19742631|1999
15-19|~|~|~|~|XII(a) Other specified malignant tumors|19585857|1999
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20146188|1999
<1|~|~|~|~|XII(a) Other specified malignant tumors|3708753|1999
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14991152|1999
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|19742631|1999
15-19|0.9|2.1|1.4|28|XII(b) Other unspecified malignant tumors|19585857|1999
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20146188|1999
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3708753|1999
1-4|199.5|214.1|206.7|3095|All ICCC Groups Combined|14974472|2000
10-14|120.1|129.9|125.0|2520|All ICCC Groups Combined|20164744|2000
15-19|199.3|212.0|205.6|4071|All ICCC Groups Combined|19799255|2000
5-9|110.2|119.6|114.8|2297|All ICCC Groups Combined|20008051|2000
<1|223.5|255.0|238.9|900|All ICCC Groups Combined|3767637|2000
1-4|79.8|89.1|84.3|1263|I Leukemias, myeloproliferative & myelodysplastic diseases|14974472|2000
10-14|22.8|27.2|24.9|502|I Leukemias, myeloproliferative & myelodysplastic diseases|20164744|2000
15-19|25.6|30.3|27.9|552|I Leukemias, myeloproliferative & myelodysplastic diseases|19799255|2000
5-9|34.9|40.4|37.6|752|I Leukemias, myeloproliferative & myelodysplastic diseases|20008051|2000
<1|41.1|55.3|47.8|180|I Leukemias, myeloproliferative & myelodysplastic diseases|3767637|2000
1-4|68.7|77.4|72.9|1092|I(a) Lymphoid leukemias|14974472|2000
10-14|15.9|19.6|17.7|357|I(a) Lymphoid leukemias|20164744|2000
15-19|14.5|18.1|16.3|322|I(a) Lymphoid leukemias|19799255|2000
5-9|29.2|34.2|31.6|633|I(a) Lymphoid leukemias|20008051|2000
<1|19.7|29.9|24.4|92|I(a) Lymphoid leukemias|3767637|2000
1-4|7.4|10.5|8.9|133|I(b) Acute myeloid leukemias|14974472|2000
10-14|4.3|6.3|5.2|105|I(b) Acute myeloid leukemias|20164744|2000
15-19|7.5|10.2|8.8|174|I(b) Acute myeloid leukemias|19799255|2000
5-9|3.4|5.3|4.3|86|I(b) Acute myeloid leukemias|20008051|2000
<1|12.8|21.4|16.7|63|I(b) Acute myeloid leukemias|3767637|2000
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14974472|2000
10-14|0.7|1.7|1.1|22|I(c) Chronic myeloproliferative diseases|20164744|2000
15-19|1.0|2.1|1.5|29|I(c) Chronic myeloproliferative diseases|19799255|2000
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|20008051|2000
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3767637|2000
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14974472|2000
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20164744|2000
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19799255|2000
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20008051|2000
